PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,FamilySize,TicketCount,Cabin_Area
1,0,3,male,22.0,1,0,7.25,S,Mr,2,unique,X
2,1,1,female,38.0,1,0,71.2833,C,Mrs,2,unique,C
3,1,3,female,26.0,0,0,7.925,S,Miss,1,unique,X
4,1,1,female,35.0,1,0,53.1,S,Mrs,2,share,C
5,0,3,male,35.0,0,0,8.05,S,Mr,1,unique,X
6,0,3,male,8.922281579307274,0,0,8.4583,Q,Mr,1,unique,X
7,0,1,male,54.0,0,0,51.8625,S,Mr,1,unique,E
8,0,3,male,2.0,3,1,21.075,S,Master,5,share,X
9,1,3,female,27.0,0,2,11.1333,S,Mrs,3,share,X
10,1,2,female,14.0,1,0,30.0708,C,Mrs,2,share,X
11,1,3,female,4.0,1,1,16.7,S,Miss,3,share,G
12,1,1,female,58.0,0,0,26.55,S,Miss,1,unique,C
13,0,3,male,20.0,0,0,8.05,S,Mr,1,unique,X
14,0,3,male,39.0,1,5,31.275,S,Mr,7,share,X
15,0,3,female,14.0,0,0,7.8542,S,Miss,1,unique,X
16,1,2,female,55.0,0,0,16.0,S,Mrs,1,unique,X
17,0,3,male,2.0,4,1,29.125,Q,Master,6,share,X
18,1,2,male,9.8596710121812,0,0,13.0,S,Mr,1,unique,X
19,0,3,female,31.0,1,0,18.0,S,Mrs,2,unique,X
20,1,3,female,8.54606083479978,0,0,7.225,C,Mrs,1,unique,X
21,0,2,male,35.0,0,0,26.0,S,Mr,1,share,X
22,1,2,male,34.0,0,0,13.0,S,Mr,1,unique,D
23,1,3,female,15.0,0,0,8.0292,Q,Miss,1,unique,X
24,1,1,male,28.0,0,0,35.5,S,Mr,1,unique,A
25,0,3,female,8.0,3,1,21.075,S,Miss,5,share,X
26,1,3,female,38.0,1,5,31.3875,S,Mrs,7,share,X
27,0,3,male,9.021111715023741,0,0,7.225,C,Mr,1,unique,X
28,0,1,male,19.0,3,2,263.0,S,Mr,6,share,C
29,1,3,female,8.454940110225149,0,0,7.8792,Q,Miss,1,unique,X
30,0,3,male,9.039047928578592,0,0,7.8958,S,Mr,1,unique,X
31,0,1,male,40.0,0,0,27.7208,C,Sir,1,unique,X
32,1,1,female,10.496413255029498,1,0,146.5208,C,Mrs,2,share,B
33,1,3,female,8.441332563687816,0,0,7.75,Q,Miss,1,unique,X
34,0,2,male,66.0,0,0,10.5,S,Mr,1,unique,X
35,0,1,male,28.0,1,0,82.1708,C,Mr,2,share,X
36,0,1,male,42.0,1,0,52.0,S,Mr,2,share,X
37,1,3,male,9.021111715023741,0,0,7.2292,C,Mr,1,unique,X
38,0,3,male,21.0,0,0,8.05,S,Mr,1,unique,X
39,0,3,female,18.0,2,0,18.0,S,Miss,3,share,X
40,1,3,female,14.0,1,0,11.2417,C,Miss,2,share,X
41,0,3,female,40.0,1,0,9.475,S,Mrs,2,unique,X
42,0,2,female,27.0,1,0,21.0,S,Mrs,2,share,X
43,0,3,male,9.003130761419937,0,0,7.8958,C,Mr,1,unique,X
44,1,2,female,3.0,1,2,41.5792,C,Miss,4,share,X
45,1,3,female,19.0,0,0,7.8792,Q,Miss,1,unique,X
46,0,3,male,9.05388702296441,0,0,8.05,S,Mr,1,unique,X
47,0,3,male,8.818486716542346,1,0,15.5,Q,Mr,2,unique,X
48,1,3,female,8.441332563687816,0,0,7.75,Q,Miss,1,unique,X
